time,pressure,absolute_salinity,calculated_sal
2023-12-15 16:40:52.260,0.805227116527624,NaN,NaN
2023-12-15 16:40:57.536,0.915945845050172,NaN,NaN
2023-12-15 16:41:04.256,0.895815167136982,NaN,NaN
2023-12-15 16:41:09.546,0.83542313339741,NaN,NaN
2023-12-15 16:41:14.864,0.966272539833149,NaN,NaN
2023-12-15 16:41:20.188,0.956207200876553,NaN,NaN
2023-12-15 16:41:27.203,0.986403217746339,NaN,NaN
2023-12-15 16:41:32.524,0.956207200876553,NaN,NaN
2023-12-15 16:41:37.842,0.976337878789744,NaN,NaN
2023-12-15 16:41:43.167,1.00653389565953,NaN,NaN
2023-12-15 16:41:50.438,0.996468556702935,NaN,NaN
2023-12-15 16:41:55.757,0.966272539833149,NaN,NaN
2023-12-15 16:42:01.076,1.02666457357272,NaN,NaN
2023-12-15 16:42:06.420,1.04679525148591,NaN,NaN
2023-12-15 16:42:13.440,1.16757931896505,NaN,NaN
2023-12-15 16:42:18.737,1.31855940331398,NaN,NaN
2023-12-15 16:42:24.062,1.74130363949099,NaN,NaN
2023-12-15 16:42:29.377,2.22443990940756,NaN,NaN
2023-12-15 16:42:34.723,2.60692278975818,NaN,NaN
2023-12-15 16:42:40.062,3.05986304280497,NaN,NaN
2023-12-15 16:42:48.936,4.20731168385683,30.3360933665752,30.3115281906579
2023-12-15 16:42:54.529,5.25410693534275,30.3361838724134,30.305511444345
2023-12-15 16:43:02.611,6.83436515152821,30.3403955972115,30.3005073793672
2023-12-15 16:43:07.652,7.54900421744647,30.3424453866225,30.2983915990398
2023-12-15 16:43:13.232,8.10259786005922,30.343218671761,30.295936660607
2023-12-15 16:43:17.651,8.40455802875707,30.3432859369781,30.2942424908001
2023-12-15 16:43:23.232,8.9883476882396,30.3436826806392,30.2912333851943
2023-12-15 16:43:27.653,9.35069989067703,30.3441559310239,30.2895926476811
2023-12-15 16:43:33.232,9.86403217746339,30.3441400074431,30.2865817126185
2023-12-15 16:43:37.648,10.246515057814,30.3443214881441,30.2845318931635
2023-12-15 16:43:43.232,10.9007620899927,30.344951649916,30.281334414569
2023-12-15 16:43:47.651,11.2530489534735,30.3454246505603,30.2797449039332
2023-12-15 16:43:53.231,11.7462505623467,30.3458722016059,30.2773047912574
2023-12-15 16:43:57.648,12.1991908153935,30.3457707219502,30.2745513389901
2023-12-15 16:44:03.418,12.7125231021799,30.3457505496884,30.2715255419113
2023-12-15 16:44:12.395,13.2963127616624,30.3464383959002,30.2687954854742
2023-12-15 16:44:18.012,13.8499064042751,30.3467497226176,30.2658656966422
2023-12-15 16:44:23.013,14.1719972508862,30.3463964472334,30.2636265559124
2023-12-15 16:44:28.012,14.7155255545423,30.3465545838142,30.2606023354918
2023-12-15 16:44:32.437,14.9570936895006,30.346706787555,30.2593402619495
2023-12-15 16:44:38.010,15.4100339425474,30.3463461564191,30.2563275328657
2023-12-15 16:44:43.016,15.842843517681,30.3458467391778,30.2532938880479
2023-12-15 16:44:48.015,16.4568291940333,30.3456785619568,30.2495308486208
2023-12-15 16:44:52.433,16.7185280069048,30.345893044685,30.2482131077938
2023-12-15 16:44:58.012,17.3627097001269,30.3461136575894,30.2446620858102
2023-12-15 16:45:03.013,17.7753885973473,30.345561072539,30.2416930816009
2023-12-15 16:45:08.010,18.2585248672639,30.3450095494034,30.238312775644
2023-12-15 16:45:13.694,18.8221838488332,30.3454851106311,30.2354881963284
2023-12-15 16:45:21.187,19.4462348641421,30.3457315060918,30.2320807291288
2023-12-15 16:45:26.805,20.0300245236246,30.3446500898421,30.2275810116922
2023-12-15 16:45:31.805,20.5232261324978,30.3446113361548,30.2246582763733
2023-12-15 16:45:41.805,21.5196946892007,30.3456751942816,30.2199093835392
2023-12-15 16:45:51.805,22.4255751952943,30.3455225397515,30.2144725996514
2023-12-15 16:46:01.805,23.4019130740841,30.3452288608531,30.2084834274836
2023-12-15 16:46:11.805,24.3279242580908,30.3465106316022,30.2043637995507
2023-12-15 16:46:21.805,25.294196797924,30.3457805732884,30.1979966516949
2023-12-15 16:46:37.506,26.9449123868056,30.3468880145681,30.189475418559
2023-12-15 16:46:47.507,27.9715769603783,30.3464137354417,30.1830120382484
2023-12-15 16:47:02.507,29.3303977195187,30.3446736645299,30.1733452417939
2023-12-15 16:47:12.507,30.1557555139595,30.3432077836537,30.1670645503216
2023-12-15 16:47:22.507,31.212616104402,30.3442740349816,30.1619395738605
2023-12-15 16:47:32.506,32.0782352546692,30.3439660467677,30.1565549551613
2023-12-15 16:47:42.506,32.9841157607628,30.345651519996,30.1529286358793
2023-12-15 16:47:52.507,33.6685588098113,30.3463427941764,30.1496061227272
2023-12-15 16:48:02.507,34.5744393159048,30.3470905545146,30.1450418785994
2023-12-15 16:48:12.506,35.2991437207797,30.3468581864995,30.1405593539434
2023-12-15 16:48:22.507,36.1144361762639,30.3469093188382,30.1358293752222
2023-12-15 16:48:32.506,37.0001860044443,30.3491376964492,30.1328642057432
2023-12-15 16:48:42.507,37.755086426189,30.3500302594383,30.1293301621306
2023-12-15 16:48:52.507,38.5200521868902,30.3536360827257,30.1284515894286
2023-12-15 16:49:08.398,39.919134301857,30.3519271559952,30.1185366961285
2023-12-15 16:49:18.397,40.8652761637769,30.3514575640372,30.1125148015854
2023-12-15 16:49:27.236,41.6201765855216,30.3531525009154,30.1097777420434
2023-12-15 16:49:38.398,42.6669718370075,30.3544072755862,30.1048867062592
2023-12-15 16:49:48.397,43.6332443768406,30.3537753627934,30.0985801981869
