,time,temperature,density,pressure,absolute_salinity
0,2023-12-15 16:40:52.260999936,10.870631200699687,,0.8052271165276239,
1,2023-12-15 16:40:57.536999936,10.865840009351388,,0.9159458450501721,
2,2023-12-15 16:41:04.256999936,10.83250194719435,,0.8958151671369815,
3,2023-12-15 16:41:09.546999808,10.83168040788935,,0.8354231333974098,
4,2023-12-15 16:41:14.864999936,10.8317302733519,,0.9662725398331485,
5,2023-12-15 16:41:20.188000000,10.833424039055027,,0.9562072008765534,
6,2023-12-15 16:41:27.203000064,10.835404016790083,,0.9864032177463392,
7,2023-12-15 16:41:32.524000000,10.834563895356784,,0.9562072008765534,
8,2023-12-15 16:41:37.842000128,10.83749149267323,,0.976337878789744,
9,2023-12-15 16:41:43.167000064,10.840058166702015,,1.0065338956595298,
10,2023-12-15 16:41:50.438999808,10.840346158543921,,0.9964685567029345,
11,2023-12-15 16:41:55.757999872,10.84192143485542,,0.9662725398331485,
12,2023-12-15 16:42:01.076000000,10.843301489795335,,1.0266645735727205,
13,2023-12-15 16:42:06.420999936,10.842823118916879,,1.0467952514859111,
14,2023-12-15 16:42:13.440999936,10.845196573917548,,1.1675793189650545,
15,2023-12-15 16:42:18.737999872,10.83967262013001,,1.318559403313984,
16,2023-12-15 16:42:24.062000128,10.848130691174152,,1.7413036394909864,
17,2023-12-15 16:42:29.377000192,10.852158183858341,,2.2244399094075606,
18,2023-12-15 16:42:34.723000064,10.86279975006584,,2.606922789758182,
19,2023-12-15 16:42:40.062000128,10.861388509981724,,3.0598630428049707,
20,2023-12-15 16:42:48.936999936,10.8589582106399,1023.0628229547212,4.207311683856834,30.3360933665752
21,2023-12-15 16:42:54.529999872,10.85929155921301,1023.0628630980301,5.254106935342746,30.3361838724134
22,2023-12-15 16:43:02.611000064,10.864901539925215,1023.0652158727006,6.834365151528207,30.34039559721145
23,2023-12-15 16:43:07.652000000,10.871965211164083,1023.0656264441691,7.549004217446473,30.342445386622465
24,2023-12-15 16:43:13.232000000,10.871778410389016,1023.0662717887233,8.102597860059216,30.343218671761026
25,2023-12-15 16:43:17.651000064,10.872599518848745,1023.0661924838685,8.404558028757073,30.34328593697809
26,2023-12-15 16:43:23.232000000,10.871652238229965,1023.0666749164749,8.988347688239601,30.343682680639166
27,2023-12-15 16:43:27.653000192,10.871537994649598,1023.0670697390842,9.350699890677033,30.344155931023863
28,2023-12-15 16:43:33.232000000,10.871537273389317,1023.0670703690627,9.864032177463393,30.34414000744308
29,2023-12-15 16:43:37.648999936,10.871358045204452,1023.0672509875665,10.246515057814014,30.344321488144068
30,2023-12-15 16:43:43.232000000,10.871400337679008,1023.0677397965229,10.900762089992709,30.34495164991601
31,2023-12-15 16:43:47.651000064,10.871883791315147,1023.0680272274557,11.253048953473543,30.34542465056035
32,2023-12-15 16:43:53.231000064,10.871168771123576,1023.0684993283372,11.746250562346713,30.3458722016059
33,2023-12-15 16:43:57.648999936,10.871600105330195,1023.0683517636697,12.199190815393502,30.345770721950153
34,2023-12-15 16:44:03.418999808,10.872095169462478,1023.0682568210292,12.712523102179862,30.345750549688358
35,2023-12-15 16:44:12.395000064,10.872073777393382,1023.0687982389325,13.296312761662389,30.34643839590019
36,2023-12-15 16:44:18.012000000,10.872093356180258,1023.0690410127912,13.84990640427513,30.346749722617606
37,2023-12-15 16:44:23.013999872,10.872430325196477,1023.068713355065,14.171997250886179,30.346396447233406
38,2023-12-15 16:44:28.012999936,10.8722638812998,1023.0688688767494,14.715525554542328,30.346554583814232
39,2023-12-15 16:44:32.437999872,10.872811015682505,1023.0688961644977,14.957093689500613,30.346706787554993
40,2023-12-15 16:44:38.010999808,10.872768581767696,1023.0686282385884,15.410033942547402,30.34634615641906
41,2023-12-15 16:44:43.016000000,10.872599518848745,1023.0682741969829,15.842843517681,30.345846739177755
42,2023-12-15 16:44:48.015000064,10.872790167408795,1023.0681172721928,16.456829194033315,30.345678561956824
43,2023-12-15 16:44:52.433000192,10.872799544633331,1023.0682840550767,16.71852800690479,30.345893044685013
44,2023-12-15 16:44:58.012000000,10.873134741690055,1023.0684037972186,17.36270970012689,30.346113657589424
45,2023-12-15 16:45:03.013999872,10.87295678264466,1023.0680098964309,17.7753885973473,30.345561072538956
46,2023-12-15 16:45:08.010999808,10.873304483602908,1023.0675284401046,18.25852486726387,30.34500954940341
47,2023-12-15 16:45:13.694999808,10.872937866365442,1023.0679637981603,18.822183848833205,30.34548511063112
48,2023-12-15 16:45:21.187000064,10.87314931707551,1023.0681242104139,19.446234864142117,30.34573150609176
49,2023-12-15 16:45:26.805000192,10.873452183668851,1023.0672410276406,20.030024523624647,30.34465008984205
50,2023-12-15 16:45:31.805999872,10.872764888582964,1023.0673349133782,20.52322613249781,30.34461133615478
51,2023-12-15 16:45:41.805999872,10.873141028867362,1023.0681200883146,21.519694689200744,30.345675194281565
52,2023-12-15 16:45:51.805000192,10.873294087840133,1023.0679994526485,22.425575195294325,30.345522539751546
53,2023-12-15 16:46:01.805000192,10.872767994237659,1023.067886406077,23.401913074084067,30.34522886085307
54,2023-12-15 16:46:11.805000192,10.87295104631364,1023.0688713686246,24.327924258090835,30.34651063160222
55,2023-12-15 16:46:21.805000192,10.872933754337584,1023.0683338117328,25.294196797923984,30.345780573288405
56,2023-12-15 16:46:37.506000128,10.872428657253892,1023.0693193263489,26.944912386805612,30.346888014568112
57,2023-12-15 16:46:47.507000064,10.873329717944369,1023.0688256658029,27.971576960378332,30.346413735441697
